Наименование;Цена
Процессор Intel Core i5-9500F Coffee Lake R, 6C/6T, 3000MHz 9Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I59500F S RF6Q);17300
Процессор Intel Core i5-9500F Coffee Lake R, 6C/6T, 3000MHz 9Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403362616SRF6Q);14200
Процессор Intel Core i5-9600 Coffee Lake R, 6C/6T, 3100MHz 9Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I59600SRF4H);22200
Процессор Intel Core i5-9600K Coffee Lake R, 6C/6T, 3700MHz 9Mb TDP-95W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (BX80684I59600KSRELU);19400
Процессор Intel Core i5-9600K Coffee Lake R, 6C/6T, 3700MHz 9Mb TDP-95W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403874404SRELU);18600
Процессор Intel Core i5-9600KF Coffee Lake R, 6C/6T, 3700MHz 9Mb TDP-95W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (BX80684I59600KFS);16800
Процессор Intel Core i5-9600KF Coffee Lake R, 6C/6T, 3700MHz 9Mb TDP-95W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403874409);16900
Процессор Intel Core i7-6700 Skylake (2015), 4C/8T, 3400MHz 8Mb TDP-65W Socket1151 tray (OEM);33100
Процессор Intel Core i7-7700K Kaby Lake-S, 4C/8T, 4200MHz 8Mb TDP-91W Socket1151 tray (OEM);36300
Процессор Intel Core i7-8700 Coffee Lake, 6C/12T, 3200MHz 12Mb TDP-65W Socket1151 BOX (Совместимы только с 3хх чипсетами!) (BX80684I78700S);33400
Процессор Intel Core i7-8700 Coffee Lake, 6C/12T, 3200MHz 12Mb TDP-65W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403358316SR3QS);27800
Процессор Intel Core i7-9700 Coffee Lake, 8C/8T, 3000MHz 12Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I79700SRG13);26700
Процессор Intel Core i7-9700 Coffee Lake, 8C/8T, 3000MHz 12Mb TDP-95W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403874521SRG13);25100
Процессор Intel Core i7-9700F Coffee Lake, 8C/8T, 3000MHz 12Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I79700F);25800
Процессор Intel Core i7-9700F Coffee Lake, 8C/8T, 3000MHz 12Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403874523SRG14);25600
Процессор Intel Core i7-9700K Coffee Lake, 8C/8T, 3600MHz 12Mb TDP-95W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403874212SRELT);33000
Процессор Intel Core i7-9700K Coffee Lake R, 8C/8T, 3600MHz 12Mb TDP-95W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (BX80684I79700KSRELT);29600
Процессор Intel Core i7-9700KF Coffee Lake R, 8C/8T, 3600MHz 12Mb TDP-95W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (BX80684I79700KFSRG16);28900
Процессор Intel Core i7-9700KF Coffee Lake R, 8C/8T, 3600MHz 12Mb TDP-95W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403874219S);27300
Процессор Intel Core i9-9900 Coffee Lake, 8C/16T, 3100MHz 16Mb TDP-65W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684I99900);35300
Процессор Intel Core i9-9900 Coffee Lake, 8C/16T, 3100MHz 16Mb TDP-65W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403874032SRG18);35000
Процессор Intel Core i9-9900K Coffee Lake R, 8C/16T, 3600MHz 16Mb TDP-95W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!);41700
Процессор Intel Core i9-9900K Coffee Lake R, 8C/16T, 3600MHz TDP-95W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403873914SRELS);38900
Процессор Intel Core i9-9900KF Coffee Lake R, 8C/16T, 3600MHz 16Mb TDP-95W Socket1151 v2 BOX (без кулера) (Совместимы только с 3хх чипсетами!) (BX80684I99900KFS);38300
Процессор Intel Core i9-9900KF Coffee Lake R, 8C/16T, 3600MHz 16Mb TDP-95W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403873927S);36000
Процессор Intel Pentium-G4400 Skylake (2015), 2C/2T, 3300MHz 3Mb TDP-54W Socket1151 tray (OEM) (CM8066201927306SR2DC);5990
Процессор Intel Pentium-G4560 Kaby Lake-S, 2C/4T, 3500MHz 3Mb TDP-54W Socket1151 BOX (BX80677G4560SR32Y);8000
Процессор Intel Pentium-G4560 Kaby Lake-S, 2C/4T, 3500MHz 3Mb TDP-54W Socket1151 tray (OEM) (CM8067702867064SR32Y);6150
Процессор Intel Pentium-G4600 Kaby Lake-S, 2C/4T, 3600MHz 3Mb TDP-51W Socket1151 tray (OEM) (CM8067703015525SR35F);7550
Процессор Intel Pentium-G5400 Coffee Lake, 2C/4T, 3700MHz 4Mb TDP-54W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403360112SR3X9);7400
Процессор Intel Pentium Gold-G5420 Coffee Lake, 2C/4T, 3800MHz TDP-54W Socket1151 v2 BOX (Совместимы только с 3хх чипсетами!) (BX80684G5420);8990
Процессор Intel Pentium Gold-G5420 Coffee Lake, 2C/4T, 3800MHz TDP-54W Socket1151 v2 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403360113SR3XA);7990
Процессор Intel Pentium Gold-G5420T Coffee Lake, 2C/4T, 3200MHz 4Mb TDP-35W Socket1151 v2 tray (OEM) (CM8068403360213);7800
Процессор Intel Pentium Gold-G5500 Coffee Lake, 2C/4T, 3800MHz 4Mb TDP-54W Socket1151 tray (OEM) (Совместимы только с 3хх чипсетами!) (CM8068403377611SR3YD);6950
Процессор Intel Pentium Gold-G5600F Coffee Lake, 2C/4T, 3900MHz 4Mb TDP-54W Socket1151 BOX (Совместимы только с 3хх чипсетами!) (BX80684G5600FSRF7Y);8050
Процессор Intel Core i3-3220 Ivy Bridge (2012), 2C/4T, 3300MHz 3Mb TDP-55W Socket1155 tray (OEM) (CM8063701137502SR0RG);11900
Процессор Intel Core i5-3550S Ivy Bridge (2012), 4C/4T, 3000MHz 6Mb TDP-65W Socket1155 tray (OEM) (CM8063701095203SR0P3);20300
Процессор Intel Core i7-3770 Ivy Bridge (2012), 4C/8T, 3400MHz 8Mb TDP-77W Socket1155 tray (OEM) (CM8063701211600SR0PK);29200
Процессор Intel Celeron-G5900 Comet Lake-S, 2C/2T, 3400MHz 2Mb TDP-58W LGA1200 BOX (BX80701G5900);4100
Процессор Intel Celeron-G5900 Comet Lake-S, 2C/2T, 3400MHz 2Mb TDP-58W LGA1200 tray (OEM) (CM8070104292110);3600
Процессор Intel Celeron-G5905 Comet Lake-S, 2C/2T, 3500MHz 4Mb TDP-58W LGA1200 BOX (BX80701G5905);5950
Процессор Intel Celeron-G5905 Comet Lake-S, 2C/2T, 3500MHz 4Mb TDP-58W LGA1200 tray (OEM) (CM8070104292115);3400
Процессор Intel Celeron-G5920 Comet Lake-S, 2C/2T, 3500MHz 2Mb TDP-58W LGA1200 BOX (BX80701G5920);5250
Процессор Intel Celeron-G5920 Comet Lake-S, 2C/2T, 3500MHz 2Mb TDP-58W LGA1200 tray (OEM) (CM8070104292010);3750
Процессор Intel Celeron-G5925 Comet Lake-S, 2C/2T, 3600MHz 4Mb TDP-58W LGA1200 tray (OEM) (CM8070104292013);3900
Процессор Intel Core i3-10100 Comet Lake-S, 4C/8T, 3600MHz 6Mb TDP-65W LGA1200 BOX (BX8070110100);10900
Процессор Intel Core i3-10100 Comet Lake-S, 4C/8T, 3600MHz 6Mb TDP-65W LGA1200 tray (OEM) (CM8070104291317);10900
Процессор Intel Core i3-10100F Comet Lake-S, 4C/8T, 3600MHz 6Mb TDP-65W LGA1200 BOX (BX8070110100F);8350
Процессор Intel Core i3-10100F Comet Lake-S, 4C/8T, 3600MHz 6Mb TDP-65W LGA1200 tray (OEM) (CM8070104291318);7490
Процессор Intel Core i3-10100T Comet Lake-S, 4C/8T, 3000MHz 6Mb TDP-35W LGA1200 tray (OEM) (CM8070104291412);13400
Процессор Intel Core i3-10105 Comet Lake-S, 4C/8T, 3700MHz 6Mb TDP-65W LGA1200 BOX (BX8070110105);13500
Процессор Intel Core i3-10105 Comet Lake-S, 4C/8T, 3700MHz 6Mb TDP-65W LGA1200 tray (OEM) (CM8070104291321);12900
Процессор Intel Core i3-10105F Comet Lake-S, 4C/8T, 3700MHz 6Mb TDP-65W LGA1200 tray (OEM) (CM8070104291323);9000
Процессор Intel Core i3-10300 Comet Lake-S, 4C/8T, 3700MHz 8Mb TDP-65W LGA1200 tray (OEM) (CM8070104291109SRH3J);14600
Процессор Intel Core i3-10320 Comet Lake-S, 4C/8T, 3800MHz 8Mb TDP-65W LGA1200 tray (OEM) (CM8070104291009);16600
Процессор Intel Core i5-10400 Comet Lake-S, 6C/12T, 2900MHz 12Mb TDP-65W LGA1200 BOX (BX8070110400);16300
Процессор Intel Core i5-10400 Comet Lake-S, 6C/12T, 2900MHz 12Mb TDP-65W LGA1200 tray (OEM) (CM8070104290715S);15200
Процессор Intel Core i5-10400F Comet Lake-S, 6C/12T, 2900MHz 12Mb TDP-65W LGA1200 BOX (BX8070110400F);14400
Процессор Intel Core i5-10400F Comet Lake-S, 6C/12T, 2900MHz 12Mb TDP-65W LGA1200 tray (OEM) (CM8070104290716);13990
Процессор Intel Core i5-10500 Comet Lake-S, 6C/12T, 3100MHz 12Mb TDP-65W LGA1200 BOX (BX8070110500SRH3A);19300
Процессор Intel Core i5-10500 Comet Lake-S, 6C/12T, 3100MHz 12Mb TDP-65W LGA1200 tray (OEM) (CM8070104290511);17700
Процессор Intel Core i5-10600 Comet Lake-S, 6C/12T, 3300MHz 12Mb TDP-65W LGA1200 BOX (BX8070110600);21400
Процессор Intel Core i5-10600 Comet Lake-S, 6C/12T, 3300MHz 12Mb TDP-65W LGA1200 tray (OEM) (CM8070104290312);19900
Процессор Intel Core i5-10600K Comet Lake-S, 6C/12T, 4100MHz 12Mb TDP-125W LGA1200 BOX (без кулера) (BX8070110600K);22200
Процессор Intel Core i5-10600K Comet Lake-S, 6C/12T, 4100MHz 12Mb TDP-125W LGA1200 tray (OEM) (CM8070104282134);23200
Процессор Intel Core i5-10600KF Comet Lake-S, 6C/12T, 4100MHz 12Mb TDP-125W LGA1200 BOX (без кулера) (BX8070110600KF);21700
Процессор Intel Core i5-10600KF Comet Lake-S, 6C/12T, 4100MHz 12Mb TDP-125W LGA1200 tray (OEM) (CM8070104282136);20800
Процессор Intel Core i5-11400F Rocket Lake-S, 6C/12T, 2600MHz 12Mb TDP-65W LGA1200 BOX (BX8070811400F);17200
Процессор Intel Core i5-11400F Rocket Lake-S, 6C/12T, 2600MHz 12Mb TDP-65W LGA1200 tray (OEM) (CM8070804497016);17000
Процессор Intel Core i5-11400 Rocket Lake-S, 6C/12T, 2600MHz 12Mb TDP-65W LGA1200 BOX (BX8070811400);19800
Процессор Intel Core i5-11400 Rocket Lake-S, 6C/12T, 2600MHz 12Mb TDP-65W LGA1200 tray (OEM) (CM8070804497015);19500
Процессор Intel Core i5-11500 Rocket Lake-S, 6C/12T, 2700MHz 12Mb TDP-65W LGA1200 BOX (BX8070811500);20900
Процессор Intel Core i5-11500 Rocket Lake-S, 6C/12T, 2700MHz 12Mb TDP-65W LGA1200 tray (OEM) (CM8070804496809);21400
Процессор Intel Core i5-11600KF Rocket Lake-S, 6C/12T, 3900MHz 12Mb TDP-125W LGA1200 BOX (без кулера) (BX8070811600KF);24400
Процессор Intel Core i5-11600KF Rocket Lake-S, 6C/12T, 3900MHz 12Mb TDP-125W LGA1200 tray (OEM) (CM8070804491415);23600
Процессор Intel Core i5-11600K Rocket Lake-S, 6C/12T, 3900MHz 12Mb TDP-125W LGA1200 BOX (без кулера) (BX8070811600K);26700
Процессор Intel Core i5-11600K Rocket Lake-S, 6C/12T, 3900MHz 12Mb TDP-125W LGA1200 tray (OEM) (CM8070804491414);25900
Процессор Intel Core i7-10700 Comet Lake-S, 8C/16T, 2900MHz 16Mb TDP-65W LGA1200 BOX (BX8070110700);31200
Процессор Intel Core i7-10700 Comet Lake-S, 8C/16T, 2900MHz 16Mb TDP-65W LGA1200 tray (OEM) (CM8070104282327);30800
Процессор Intel Core i7-10700F Comet Lake-S, 8C/16T, 2900MHz 16Mb TDP-65W LGA1200 BOX (BX8070110700F);30000
Процессор Intel Core i7-10700F Comet Lake-S, 8C/16T, 2900MHz 16Mb TDP-65W LGA1200 tray (OEM) (CM8070104282329);29700
Процессор Intel Core i7-10700K Comet Lake-S, 8C/16T, 3800MHz 16Mb TDP-125W LGA1200 BOX (без кулера) (BX8070110700K);37300
Процессор Intel Core i7-10700K Comet Lake-S, 8C/16T, 3800MHz 16Mb TDP-125W LGA1200 tray (OEM) (CM8070104282436);36200
Процессор Intel Core i7-10700KF Comet Lake-S, 8C/16T, 3800MHz 16Mb TDP-125W LGA1200 BOX (без кулера) (BX8070110700KF);35800
Процессор Intel Core i7-10700KF Comet Lake-S, 8C/16T, 3800MHz 16Mb TDP-125W LGA1200 tray (OEM) (CM8070104282437SRH74);34200
Процессор Intel Core i7-11700F Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 BOX (BX8070811700F);34200
Процессор Intel Core i7-11700F Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 tray (OEM) (CM8070804491213);33800
Процессор Intel Core i7-11700KF Rocket Lake-S, 8C/16T, 3600MHz 16Mb TDP-125W LGA1200 BOX (без кулера) (BX8070811700KF);41600
Процессор Intel Core i7-11700KF Rocket Lake-S, 8C/16T, 3600MHz 16Mb TDP-125W LGA1200 tray (OEM) (CM8070804488630);39200
Процессор Intel Core i7-11700K Rocket Lake-S, 8C/16T, 3600MHz 16Mb TDP-125W LGA1200 BOX (без кулера) (BX8070811700K);41800
Процессор Intel Core i7-11700K Rocket Lake-S, 8C/16T, 3600MHz 16Mb TDP-125W LGA1200 tray (OEM) (CM8070804488629);40900
Процессор Intel Core i7-11700 Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 BOX (BX8070811700);34400
Процессор Intel Core i7-11700 Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 tray (OEM) (CM8070804491214);33400
Процессор Intel Core i9-10850KA Comet Lake-S, 10C/20T, 3600MHz 20Mb TDP-125W LGA1200 BOX (без кулера) (Marvels Avengers Collectors Edition) (BX8070110850KA);45900
Процессор Intel Core i9-10850K Comet Lake-S, 10C/20T, 3600MHz 20Mb TDP-125W LGA1200 BOX (без кулера) (BX8070110850K);43100
Процессор Intel Core i9-10850K Comet Lake-S, 10C/20T, 3600MHz 20Mb TDP-125W LGA1200 tray (OEM) (CM8070104608302);42000
Процессор Intel Core i9-10900 Comet Lake-S, 10C/20T, 2800MHz 20Mb TDP-65W LGA1200 BOX (BX8070110900);43700
Процессор Intel Core i9-10900 Comet Lake-S, 10C/20T, 2800MHz 20Mb TDP-65W LGA1200 tray (OEM) (CM8070104282624);42000
Процессор Intel Core i9-10900F Comet Lake-S, 10C/20T, 2800MHz 20Mb TDP-65W LGA1200 BOX (BX8070110900F);40600
Процессор Intel Core i9-10900F Comet Lake-S, 10C/20T, 2800MHz 20Mb TDP-65W LGA1200 tray (OEM) (CM8070104282625);39600
Процессор Intel Core i9-10900K Comet Lake-S, 10C/20T, 3700MHz 20Mb TDP-125W LGA1200 BOX (без кулера) (BX8070110900K S RH91);51000
Процессор Intel Core i9-10900K Comet Lake-S, 10C/20T, 3700MHz 20Mb TDP-125W LGA1200 tray (OEM) (CM8070104282844S RH91);48900
Процессор Intel Core i9-10900KF Comet Lake-S, 10C/20T, 3700MHz 20Mb TDP-125W LGA1200 BOX (без кулера) (BX8070110900KF);47900
Процессор Intel Core i9-10900KF Comet Lake-S, 10C/20T, 3700MHz 20Mb TDP-125W LGA1200 tray (OEM) (CM8070104282846);46500
Процессор Intel Core i9-11900F Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 BOX (без кулера) (BX8070811900F);45400
Процессор Intel Core i9-11900F Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 tray (OEM) (CM8070804488246);42400
Процессор Intel Core i9-11900K Rocket Lake-S, 8C/16T, 3500MHz 16Mb TDP-125W LGA1200 BOX (без кулера) (BX8070811900K);61300
Процессор Intel Core i9-11900K Rocket Lake-S, 8C/16T, 3500MHz 16Mb TDP-125W LGA1200 tray (OEM) (CM8070804400161);57700
Процессор Intel Core i9-11900 Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 BOX (без кулера) (BX8070811900);46500
Процессор Intel Core i9-11900 Rocket Lake-S, 8C/16T, 2500MHz 16Mb TDP-65W LGA1200 tray (OEM) (CM8070804488245);45200
Процессор Intel Pentium Gold-G6400 Comet Lake-S, 2C/4T, 4000MHz 4Mb TDP-58W LGA1200 BOX (BX80701G6400);5800
Процессор Intel Pentium Gold-G6400 Comet Lake-S, 2C/4T, 4000MHz 4Mb TDP-58W LGA1200 tray (OEM) (CM8070104291810);5300
Процессор Intel Pentium Gold-G6405 Comet Lake-S, 2C/4T, 4100MHz 4Mb TDP-58W LGA1200 BOX (BX80701G6405);7700
Процессор Intel Pentium Gold-G6405 Comet Lake-S, 2C/4T, 4100MHz 4Mb TDP-58W LGA1200 tray (OEM) (CM8070104291811);7050
Процессор Intel Pentium Gold-G6500 Comet Lake-S, 2C/4T, 4100MHz 4Mb TDP-58W LGA1200 BOX (BX80701G6500);8100
Процессор Intel Pentium Gold-G6500 Comet Lake-S, 2C/4T, 4100MHz 4Mb TDP-58W LGA1200 tray (OEM) (CM8070104291610S);7450
Процессор Intel Pentium Gold-G6600 Comet Lake-S, 2C/4T, 4200MHz 4Mb TDP-58W LGA1200 BOX (BX80701G6600);8750
Процессор Intel Pentium Gold-G6600 Comet Lake-S, 2C/4T, 4200MHz 4Mb TDP-58W LGA1200 tray (OEM) (CM8070104291510S);8450
Процессор Intel Pentium Gold-G6605 Comet Lake-S, 2C/4T, 4300MHz 4Mb TDP-58W LGA1200 BOX (BX80701G6605);10200
Процессор Intel Core i7-7740X Kaby Lake-X, 4C/8T, 4300MHz 8Mb TDP-112W Socket2066 BOX (без кулера) (BX80677I77740XSR3FP);33600
Процессор Intel Core i7-7800X Skylake-X, 6C/12T, 3500MHz 8.25Mb TDP-140W Socket2066 tray (OEM) (CD8067303753400SR3NH);37000
Процессор Intel Core i7-7820X Skylake-X, 8C/16T, 3600MHz 11Mb TDP-140W Socket2066 tray (OEM) (CD8067303611000SR3L5);55600
Процессор Intel Core i9-10900X Cascade Lake, 10C/20T, 3700MHz 19Mb TDP-165W Socket2066 BOX (без кулера) (BX8069510900XSRGV7);61400
Процессор Intel Core i9-10900X Cascade Lake, 10C/20T, 3700MHz 19Mb TDP-165W Socket2066 tray (OEM) (CD8069504382100SRGV7);60000
Процессор Intel Core i9-10920X Cascade Lake-X, 12C/24T, 3500MHz 19.2Mb TDP-165W Socket2066 BOX (без кулера) (BX8069510920X S RGSJ);71100
Процессор Intel Core i9-10920X Cascade Lake-X, 12C/24T, 3500MHz 19.3Mb TDP-165W Socket2066 tray (OEM) (CD8069504382000SRGSJ);69100
Процессор Intel Core i9-10940X Cascade Lake, 14C/28T, 3300MHz 19.3Mb TDP-165W Socket2066 BOX (без кулера) (BX8069510940XSRGSH);80500
Процессор Intel Core i9-10940X Cascade Lake, 14C/28T, 3300MHz 19.3Mb TDP-165W Socket2066 tray (OEM) (CD8069504381900SRGSH);79700
Процессор Intel Core i9-10980XE Cascade Lake, 18C/36T, 3000MHz 24.8Mb TDP-165W Socket2066 BOX (без кулера) (BX8069510980XESRGSG);101900
Процессор Intel Core i9-7900X Skylake-X, 10C/20T, 3300MHz 13.8Mb TDP-140W Socket2066 BOX (без кулера) (BX80673I97900XSR3L2);89800
Процессор Intel Core i9-7900X Skylake-X, 10C/20T, 3300MHz 13.8Mb TDP-140W Socket2066 tray (OEM) (CD8067303286804SR3L2);88900
Процессор Intel Core i9-9820X Skylake-X, 10C/20T, 3300MHz 16.5Mb TDP-165W Socket2066 BOX (BX80673I99820XSREZ8);83300
Процессор Intel Core i9-9820X Skylake-X, 10C/20T, 3300MHz 16.5Mb TDP-165W Socket2066 tray (OEM) (CD8067304126901SREZ8);82400
Процессор Intel Core i9-9920X Skylake-X, 12C/24T, 3500MHz 19.3Mb TDP-165W Socket2066 BOX (без кулера) (BX80673I99920XSREZ6);75300
Процессор Intel Core i9-9940X Skylake-X, 14C/28T, 3300MHz 19Mb TDP-165W Socket2066 BOX (без кулера) (BX80673I99940XSREZ5);81300
Процессор Intel Core i9-9960X Skylake-X, 16C/32T, 3100MHz 22Mb TDP-165W Socket2066 tray (OEM) (CD8067304126500SREZ4);150300
